id,file,sha256_file,gates,inputs,depth,depth_outputs,outputs_built,outputs_at_max_depth,output_depth_histogram,level_profile,max_fanout_gate,max_fanout_input,fanout_histogram_gates,fanout_histogram_inputs,duplicate_masks,dead_gates,B,expected_B,declared_outputSignals,declared_matches_computed
mixcolumns_88gates_depth5,circuits/mixcolumns_88gates_depth5.json,979c01a00b4be500e2e27f04cf60a592fa097853de6892dead2f5c0dbaf4ce25,88,32,5,5,32,7,3:15 4:10 5:7,1:21 2:21 3:25 4:14 5:7,4,2,0:30 1:8 2:46 3:1 4:3,1:3 2:29,0,0,56,56,yes,yes
mixcolumns_88gates_depth5_fromscratch,circuits/mixcolumns_88gates_depth5_fromscratch.json,298e9b5011761599e03b134600fb850cdf8219d98eed515313631564ddb397c3,88,32,5,5,32,11,3:7 4:14 5:11,1:20 2:18 3:19 4:20 5:11,4,2,0:26 1:13 2:45 3:2 4:2,1:5 2:27,0,0,56,56,yes,yes
mixcolumns_88gates_depth6,circuits/mixcolumns_88gates_depth6.json,45d6957669cd3e63af93a936c17b784fcc37ece7ef84c51d30df4eb01ed1f84a,88,32,6,6,32,4,3:6 4:13 5:9 6:4,1:16 2:17 3:19 4:20 5:12 6:4,4,2,0:26 1:14 2:43 3:3 4:2,1:5 2:27,0,0,56,56,yes,yes
mixcolumns_88gates_depth7,circuits/mixcolumns_88gates_depth7.json,6e823ad8cc8953fc8859e37f7000e8054a16ab769118c8f878f116ff3d72852a,88,32,7,7,32,2,3:14 4:3 5:12 6:1 7:2,1:20 2:19 3:22 4:11 5:12 6:2 7:2,4,3,0:28 1:9 2:47 3:3 4:1,1:6 2:24 3:2,0,0,56,56,yes,yes
mixcolumns_88gates_depth8,circuits/mixcolumns_88gates_depth8.json,66bd373ab30c91e435f907176ffbab347c748b7ce80236bc4b692409eec2a54f,88,32,8,8,32,5,3:12 4:3 5:6 6:4 7:2 8:5,1:19 2:16 3:18 4:10 5:10 6:6 7:4 8:5,3,3,0:27 1:10 2:47 3:4,1:6 2:24 3:2,0,0,56,56,yes,yes
mixcolumns_89gates_depth5,circuits/mixcolumns_89gates_depth5.json,9a79842111c6954ca6955db5cb602d7667f843aac8e52bdef86db3568bdcc972,89,32,5,5,32,7,3:17 4:8 5:7,1:22 2:22 3:26 4:12 5:7,4,3,0:29 1:12 2:43 3:4 4:1,1:1 2:30 3:1,0,0,57,57,yes,yes
mixcolumns_89gates_depth10,circuits/mixcolumns_89gates_depth10.json,d85a45e0870b6a4c8e644dec54185450d0b3b0f9c93b3a7d9f242b644a834595,89,32,10,10,32,2,3:5 4:8 5:12 6:2 7:1 8:2 10:2,1:18 2:14 3:17 4:14 5:14 6:3 7:3 8:3 9:1 10:2,4,3,0:24 1:17 2:43 3:3 4:2,1:7 2:24 3:1,0,0,57,57,yes,yes
mixcolumns_91gates_depth4,circuits/mixcolumns_91gates_depth4.json,883da457b3224916664f85ec12c1b940cab96c6632586a334709f375cb8cbf3d,91,32,4,4,32,14,3:18 4:14,1:26 2:22 3:29 4:14,3,4,0:31 1:13 2:41 3:6,1:2 2:24 3:5 4:1,0,0,59,59,yes,yes
mixcolumns_91gates_depth6,circuits/mixcolumns_91gates_depth6.json,9f9e933eb566779364bf800fec107831568f36db4aba7d3997d05e147a593a6e,91,32,6,6,32,4,3:7 4:12 5:9 6:4,1:18 2:21 3:19 4:17 5:12 6:4,3,3,0:25 1:21 2:38 3:7,1:5 2:22 3:5,0,0,59,59,yes,yes
mixcolumns_92gates_depth4,circuits/mixcolumns_92gates_depth4.json,5174fab91f81084d274fa9278b5f8a98f3cd4b580e38d05f8ab9a384404f0067,92,32,4,4,32,14,3:18 4:14,1:25 2:25 3:28 4:14,5,3,0:27 1:24 2:31 3:8 4:1 5:1,1:3 2:25 3:4,0,0,60,60,yes,yes
mixcolumns_97gates_depth3,circuits/mixcolumns_97gates_depth3.json,c1a5899f682e87222bfa84d833233ac874e8d47819e3336d0e85760d14be9f5d,97,32,3,3,32,32,3:32,1:27 2:38 3:32,5,4,0:32 1:25 2:32 3:5 4:2 5:1,2:20 3:11 4:1,0,0,65,65,yes,yes
mixcolumns_98gates_depth3,circuits/mixcolumns_98gates_depth3.json,da2a1bcbe0b988aaca158587b791c97f77193d886bf8bd3ee417ee231b5b014f,98,32,3,3,32,32,3:32,1:31 2:35 3:32,3,5,0:32 1:23 2:39 3:4,2:19 3:9 4:2 5:2,0,0,66,66,yes,yes
mixcolumns_102gates_cf,circuits/mixcolumns_102gates_cf.json,ded0a186062bae38217a3363b973c4b8466c7819a386960db0f49b3d4056b675,102,32,5,5,32,2,3:20 4:10 5:2,1:29 2:27 3:32 4:12 5:2,4,4,0:32 1:40 2:26 3:1 4:3,2:3 3:25 4:4,0,0,70,70,yes,yes
